Stage,#,Category,Item,Format,Spec,Notes,Status
Stage 1 - Pre-vote,26,Gallery,Photo 8,Image URL,Landscape - min 1200px wide,,
Stage 1 - Pre-vote,27,Gallery,Video 1,YouTube embed URL,youtube.com/embed/...,,
Stage 1 - Pre-vote,28,Gallery,Video 2,YouTube embed URL,youtube.com/embed/...,,
Stage 1 - Pre-vote,29,Gallery,Video 3,YouTube embed URL,youtube.com/embed/...,,
Stage 1 - Pre-vote,30,Gallery,Video 4,YouTube embed URL,youtube.com/embed/...,,
Stage 1 - Pre-vote,31,Gallery,Video 5,YouTube embed URL,youtube.com/embed/...,,
Stage 1 - Pre-vote,32,Gallery,Video 6,YouTube embed URL,youtube.com/embed/...,,
Stage 1 - Pre-vote,33,Gallery,Video 7,YouTube embed URL,youtube.com/embed/...,,
Stage 1 - Pre-vote,34,Gallery,Video 8,YouTube embed URL,youtube.com/embed/...,,
Stage 1 - Pre-vote,35,Home - page copy,Hero heading,Text,Kannada - one line,Current: ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಅತಿದೊಡ್ಡ ಪ್ರಶಸ್ತಿ ಸಂಭ್ರಮಕ್ಕೆ ಸುಸ್ವಾಗತ,
Stage 1 - Pre-vote,36,Home - page copy,Hero subtext,Text,Kannada - 1-2 sentences,Current: ಚಂದನವನದ ಶ್ರೇಷ್ಠ ಪ್ರತಿಭೆಗಳನ್ನು ಗೌರವಿಸುವ - ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಅತ್ಯಂತ ಪ್ರತಿಷ್ಠಿತ ಸಿನಿ ಸಮ್ಮಾನದ ವೇದಿಕೆ.,
Stage 1 - Pre-vote,37,About - page copy,Page heading,Text,Kannada - one line,Current: About,
Stage 1 - Pre-vote,38,About - page copy,Page body,Text,Kannada - 200-400 words,Story of PVCS,
Stage 1 - Pre-vote,39,Contest - page copy,Page heading,Text,Kannada - one line,Current: Contest,
Stage 1 - Pre-vote,40,Contest - page copy,Page body,Text,Kannada - 100-200 words,Eligibility and how to enter,
Stage 1 - Pre-vote,41,Contest - page copy,Google Form URL,URL,-,Public Google Form link,
Stage 1 - Pre-vote,42,Process - page copy,Page heading,Text,Kannada - one line,Current: Process,
Stage 1 - Pre-vote,43,Process - page copy,Page body,Text,Kannada - 200-400 words,Nomination to Jury to Voting flow,
Stage 1 - Pre-vote,44,Jury - page copy,Page heading,Text,Kannada - one line,Current: Jury,
Stage 1 - Pre-vote,45,Jury - page copy,Page intro,Text,Kannada - 1-2 sentences,Short intro above jury member cards,
Stage 1 - Pre-vote,46,Jury - page copy,Member names,Text,Kannada + English - one per member,,
Stage 1 - Pre-vote,47,Jury - page copy,Member designations,Text,English - short title or role,,
Stage 1 - Pre-vote,48,Jury - page copy,Member photos,Image URL,Portrait - min 400x400px,,
Stage 1 - Pre-vote,49,Cine Corner - page copy,Page heading,Text,Kannada - one line,Current: Cine Corner,
Stage 1 - Pre-vote,50,Cine Corner - page copy,Page description,Text,Kannada - 1-2 sentences,,
Stage 1 - Pre-vote,51,Previous Editions - page copy,Page heading,Text,Kannada - one line,Current: Previous Years,
Stage 1 - Pre-vote,52,Previous Editions - page copy,Page intro,Text,Kannada - 1-2 sentences,,
Stage 1 - Pre-vote,53,Terms - page copy,Page heading,Text,Kannada - one line,Current: Terms,
Stage 1 - Pre-vote,54,Terms - page copy,Page body,Text,Kannada or English - full text,,
Stage 1 - Pre-vote,55,Trophy - page copy,Section heading,Text,Kannada - one line,,
Stage 1 - Pre-vote,56,Trophy - page copy,Section body,Text,Kannada - 1-3 sentences,,
Stage 1 - Pre-vote,57,Popup - UI copy,Title,Text,Kannada - one line,Current: ಪ್ರಜಾವಾಣಿ ಸಿನಿ ಸಮ್ಮಾನ,
Stage 1 - Pre-vote,58,Popup - UI copy,Description,Text,Kannada - 2-3 sentences,Current: 2026ರಲ್ಲಿ ಬಿಡುಗಡೆಯಾದ ಕನ್ನಡ ಚಲನಚಿತ್ರಗಳ ಶ್ರೇಷ್ಠ ಪ್ರತಿಭೆಗಳನ್ನು ಗುರುತಿಸುವ ಮೂರನೇ ಆವೃತ್ತಿಯ ವೇದಿಕೆ.,
Stage 1 - Pre-vote,59,Popup - UI copy,CTA button,Text,Kannada - 3-5 words,Current: ಆಯ್ಕೆ ಪ್ರಕ್ರಿಯೆ ನೋಡಿ,
Stage 1 - Pre-vote,60,Home - UI copy,Start voting button,Text,Kannada - 2-3 words,Current: Start voting,
Stage 1 - Pre-vote,61,Home - UI copy,Browse nominations button,Text,Kannada - 2-3 words,Current: Browse nominations,
Stage 1 - Pre-vote,62,Home - UI copy,Voting closes countdown label,Text,Kannada - 2 words,Current: Voting closes,
Stage 1 - Pre-vote,63,Home - UI copy,Voting stats eyebrow,Text,Kannada - 1-2 words,Current: Voting stats,
Stage 1 - Pre-vote,64,Home - UI copy,Voting stats heading,Text,Kannada - one line,Current: Vote share snapshot,
Stage 1 - Pre-vote,65,Home - UI copy,Winners section eyebrow,Text,Kannada - 1 word,Current: Winners,
Stage 1 - Pre-vote,66,Home - UI copy,Open winners page button,Text,Kannada - 3-5 words,Current: Open full winners page,
Stage 1 - Pre-vote,67,Voting - UI copy,Eyebrow label,Text,Kannada - 1 word,Current: Voting,
Stage 1 - Pre-vote,68,Voting - UI copy,Lead-in heading,Text,Kannada - one line,Current: Vote category by category,
Stage 1 - Pre-vote,69,Voting - UI copy,Lead-in description,Text,Kannada - 1-2 sentences,Current: Pick one nominee per category. The flow advances automatically...,
Stage 1 - Pre-vote,70,Voting - UI copy,Check live results button,Text,Kannada - 3-5 words,Current: Check live voting results,
Stage 1 - Pre-vote,71,Voting - UI copy,Pre-vote heading,Text,Kannada - one line,Current: Voting opens soon,
Stage 1 - Pre-vote,72,Voting - UI copy,Countdown label,Text,Kannada - 2 words,Current: Voting opens,
Stage 1 - Pre-vote,73,Voting - UI copy,Post-vote heading,Text,Kannada - one line,Current: Voting is closed,
Stage 1 - Pre-vote,74,Voting - UI copy,Post-vote description,Text,Kannada - 1 sentence,Current: The winners page now carries the main event CTA.,
Stage 1 - Pre-vote,75,Voting - UI copy,Post-vote CTA button,Text,Kannada - 2-3 words,Current: View winners,
Stage 1 - Pre-vote,76,Live results - UI copy,Eyebrow label,Text,Kannada - 1 word,Current: Live,
Stage 1 - Pre-vote,77,Live results - UI copy,Page heading,Text,Kannada - one line,Current: Vote share snapshot,
Stage 1 - Pre-vote,78,Live results - UI copy,Back link,Text,Kannada - 2-3 words,Current: <- Back to voting,
Stage 1 - Pre-vote,79,Nominations page - UI copy,Eyebrow label,Text,Kannada - 1 word,Current: Nominations,
Stage 1 - Pre-vote,80,Nominations page - UI copy,Page heading (pre-vote / during),Text,Kannada - one line,Current: Jump through the categories,
Stage 1 - Pre-vote,81,Nominations page - UI copy,Page description (pre-vote / during),Text,Kannada - 1 sentence,Current: Use the selector to jump directly to any category.,
Stage 1 - Pre-vote,82,Nominations page - UI copy,Page heading (post-vote),Text,Kannada - one line,Current: Archive and winners browser,
Stage 1 - Pre-vote,83,Nominations page - UI copy,Page description (post-vote),Text,Kannada - 1 sentence,Current: Use the selector to jump through the full archive and winner surfaces.,
Stage 1 - Pre-vote,84,Nominations page - UI copy,Vote in this category button,Text,Kannada - 3-5 words,Current: Vote in this category,
Stage 1 - Pre-vote,85,Nominations page - UI copy,Choose category toggle,Text,Kannada - 2 words,Current: Choose category,
Stage 1 - Pre-vote,86,Nominations page - UI copy,Choose a category dropdown default,Text,Kannada - 2-3 words,Current: Choose a category,
Stage 1 - Pre-vote,87,Form - UI copy,Eyebrow label,Text,Kannada - 1-2 words,Current: Final submission,
Stage 1 - Pre-vote,88,Form - UI copy,Confirm ballot heading,Text,Kannada - 3-5 words,Current: Confirm your ballot,
Stage 1 - Pre-vote,89,Form - UI copy,Confirm ballot description,Text,Kannada - 1-2 sentences,Current: All four categories are complete. Enter your details to submit the vote.,
Stage 1 - Pre-vote,90,Form - UI copy,District list hint,Text,Kannada - short,Current: District list starts with Others,
Stage 1 - Pre-vote,91,Form - UI copy,Not selected label,Text,Kannada - 1-2 words,Current: Not selected,
Stage 1 - Pre-vote,92,Form - UI copy,Name field label,Text,Kannada - 1 word,Current: Name,
Stage 1 - Pre-vote,93,Form - UI copy,Name placeholder,Text,Kannada - 2 words,Current: Your name,
Stage 1 - Pre-vote,94,Form - UI copy,District field label,Text,Kannada - 1 word,Current: District,
Stage 1 - Pre-vote,95,Form - UI copy,Mobile field label,Text,Kannada - 1 word,Current: Mobile,
Stage 1 - Pre-vote,96,Form - UI copy,Back button,Text,Kannada - 1 word,Current: Previous,
Stage 1 - Pre-vote,97,Form - UI copy,Submit button,Text,Kannada - 2-3 words,Current: Submit vote,
Stage 1 - Pre-vote,98,Form - UI copy,Submitting state,Text,Kannada - short,Current: Submitting...,
Stage 1 - Pre-vote,99,Form - UI copy,Success message,Text,Kannada - short,Current: Your ballot was accepted.,
Stage 1 - Pre-vote,100,Form - UI copy,Duplicate number message,Text,Kannada - short,Current: This phone number already voted.,
Stage 1 - Pre-vote,101,Form - UI copy,Generic error message,Text,Kannada - short,Current: Submission failed. Please try again.,
Stage 1 - Pre-vote,102,Form - UI copy,Incomplete validation,Text,Kannada - short,Current: Complete all four categories first.,
Stage 1 - Pre-vote,103,Form - UI copy,Name validation,Text,Kannada - short,Current: Enter a name with at least 2 characters.,
Stage 1 - Pre-vote,104,Form - UI copy,Mobile validation,Text,Kannada - short,Current: Enter a valid 10-digit Indian mobile number.,
Stage 1 - Pre-vote,105,Countdown - UI copy,Days unit,Text,Kannada - 1 word,Current: Days,
Stage 1 - Pre-vote,106,Countdown - UI copy,Hours unit,Text,Kannada - 1 word,Current: Hours,
Stage 1 - Pre-vote,107,Countdown - UI copy,Minutes unit,Text,Kannada - 1 word,Current: Minutes,
Stage 1 - Pre-vote,108,Countdown - UI copy,Seconds unit,Text,Kannada - 1 word,Current: Seconds,
Stage 1 - Pre-vote,109,Nav - UI copy,Home,Text,Kannada - 1 word,Current: Home,
Stage 1 - Pre-vote,110,Nav - UI copy,Contests,Text,Kannada - 1 word,Current: Contests,
Stage 1 - Pre-vote,111,Nav - UI copy,Photos,Text,Kannada - 1 word,Current: Photos,
Stage 1 - Pre-vote,112,Nav - UI copy,Videos,Text,Kannada - 1 word,Current: Videos,
Stage 1 - Pre-vote,113,Nav - UI copy,Process,Text,Kannada - 1 word,Current: Process,
Stage 1 - Pre-vote,114,Nav - UI copy,About Us,Text,Kannada - 1 word,Current: About Us,
Stage 1 - Pre-vote,115,Nav - UI copy,Jury,Text,Kannada - 1 word,Current: Jury - desktop menu only,
Stage 1 - Pre-vote,116,Nav - UI copy,Cine Corner,Text,Kannada - 1-2 words,Current: Cine Corner - desktop menu only,
Stage 1 - Pre-vote,117,Nav - UI copy,Terms and Conditions,Text,Kannada - 2-3 words,Current: Terms and Conditions - desktop menu only,
Stage 1 - Pre-vote,118,Nav - UI copy,Menu,Text,Kannada - 1 word,Current: Menu - mobile trigger,
Stage 1 - Pre-vote,119,Nav - UI copy,Season 1 submenu label,Text,Kannada - 1-2 words,Current: Season 1,
Stage 1 - Pre-vote,120,Nav - UI copy,Season 2 submenu label,Text,Kannada - 1-2 words,Current: Season 2,
Stage 1 - Pre-vote,121,Nav - UI copy,Season 3 submenu label,Text,Kannada - 1-2 words,Current: Season 3,
Stage 2 - Voting opens,122,Nav - UI copy,Vote Now,Text,Kannada - 1-2 words,Current: Vote Now - shown when voting is live,
Stage 2 - Voting opens,123,Nav - UI copy,Public voting - nominees,Text,Kannada - 1 word,Current: Nominees - shown when voting is live,
Stage 2 - Voting opens,124,Public voting - config,Category 1 - description,Text,Kannada - 1-2 sentences,Shown above nominee cards,
Stage 2 - Voting opens,125,Public voting - config,Category 2 - description,Text,Kannada - 1-2 sentences,Shown above nominee cards,
Stage 2 - Voting opens,126,Public voting - config,Category 3 - description,Text,Kannada - 1-2 sentences,Shown above nominee cards,
Stage 2 - Voting opens,127,Public voting - config,Category 4 - description,Text,Kannada - 1-2 sentences,Shown above nominee cards,
Stage 2 - Voting opens,128,Public voting - nominees,Category 1 - Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,129,Public voting - nominees,Category 1 - Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,130,Public voting - nominees,Category 1 - Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,131,Public voting - nominees,Category 1 - Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,132,Public voting - nominees,Category 1 - Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,133,Public voting - nominees,Category 1 - Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,134,Public voting - nominees,Category 1 - Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,135,Public voting - nominees,Category 1 - Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,136,Public voting - nominees,Category 1 - Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,137,Public voting - nominees,Category 2 - Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,138,Public voting - nominees,Category 2 - Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,139,Public voting - nominees,Category 2 - Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,140,Public voting - nominees,Category 2 - Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,141,Public voting - nominees,Category 2 - Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,142,Public voting - nominees,Category 2 - Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,143,Public voting - nominees,Category 2 - Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,144,Public voting - nominees,Category 2 - Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,145,Public voting - nominees,Category 2 - Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,146,Public voting - nominees,Category 3 - Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,147,Public voting - nominees,Category 3 - Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,148,Public voting - nominees,Category 3 - Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,149,Public voting - nominees,Category 3 - Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,150,Public voting - nominees,Category 3 - Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,151,Public voting - nominees,Category 3 - Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,152,Public voting - nominees,Category 3 - Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,153,Public voting - nominees,Category 3 - Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,154,Public voting - nominees,Category 3 - Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,155,Public voting - nominees,Category 4 - Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,156,Public voting - nominees,Category 4 - Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,157,Public voting - nominees,Category 4 - Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,158,Public voting - nominees,Category 4 - Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,159,Public voting - nominees,Category 4 - Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,160,Public voting - nominees,Category 4 - Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,161,Public voting - nominees,Category 4 - Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,162,Public voting - nominees,Category 4 - Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,163,Public voting - nominees,Category 4 - Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,164,Nom. Category 1 - page copy,Category title,Text,Kannada - one line,Current: Best actor,
Stage 2 - Voting opens,165,Nom. Category 1 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,166,Nom. Category 1 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,167,Nom. Category 1 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,168,Nom. Category 1 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,169,Nom. Category 1 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,170,Nom. Category 1 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,171,Nom. Category 1 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,172,Nom. Category 1 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,173,Nom. Category 1 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,174,Nom. Category 1 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,175,Nom. Category 1 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,176,Nom. Category 1 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,177,Nom. Category 1 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,178,Nom. Category 2 - page copy,Category title,Text,Kannada - one line,Current: Best actress,
Stage 2 - Voting opens,179,Nom. Category 2 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,180,Nom. Category 2 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,181,Nom. Category 2 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,182,Nom. Category 2 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,183,Nom. Category 2 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,184,Nom. Category 2 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,185,Nom. Category 2 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,186,Nom. Category 2 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,187,Nom. Category 2 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,188,Nom. Category 2 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,189,Nom. Category 2 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,190,Nom. Category 2 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,191,Nom. Category 2 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,192,Nom. Category 3 - page copy,Category title,Text,Kannada - one line,Current: Excellent direction,
Stage 2 - Voting opens,193,Nom. Category 3 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,194,Nom. Category 3 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,195,Nom. Category 3 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,196,Nom. Category 3 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,197,Nom. Category 3 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,198,Nom. Category 3 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,199,Nom. Category 3 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,200,Nom. Category 3 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,201,Nom. Category 3 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,202,Nom. Category 3 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,203,Nom. Category 3 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,204,Nom. Category 3 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,205,Nom. Category 3 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,206,Nom. Category 4 - page copy,Category title,Text,Kannada - one line,Current: Best debut direction,
Stage 2 - Voting opens,207,Nom. Category 4 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,208,Nom. Category 4 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,209,Nom. Category 4 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,210,Nom. Category 4 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,211,Nom. Category 4 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,212,Nom. Category 4 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,213,Nom. Category 4 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,214,Nom. Category 4 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,215,Nom. Category 4 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,216,Nom. Category 4 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,217,Nom. Category 4 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,218,Nom. Category 4 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,219,Nom. Category 4 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,220,Nom. Category 5 - page copy,Category title,Text,Kannada - one line,Current: Best supporting actor,
Stage 2 - Voting opens,221,Nom. Category 5 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,222,Nom. Category 5 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,223,Nom. Category 5 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,224,Nom. Category 5 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,225,Nom. Category 5 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,226,Nom. Category 5 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,227,Nom. Category 5 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,228,Nom. Category 5 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,229,Nom. Category 5 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,230,Nom. Category 5 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,231,Nom. Category 5 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,232,Nom. Category 5 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,233,Nom. Category 5 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,234,Nom. Category 6 - page copy,Category title,Text,Kannada - one line,Current: Best supporting actress,
Stage 2 - Voting opens,235,Nom. Category 6 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,236,Nom. Category 6 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,237,Nom. Category 6 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,238,Nom. Category 6 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,239,Nom. Category 6 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,240,Nom. Category 6 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,241,Nom. Category 6 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,242,Nom. Category 6 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,243,Nom. Category 6 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,244,Nom. Category 6 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,245,Nom. Category 6 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,246,Nom. Category 6 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,247,Nom. Category 6 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,248,Nom. Category 7 - page copy,Category title,Text,Kannada - one line,Current: Best music direction,
Stage 2 - Voting opens,249,Nom. Category 7 - page copy,Category description,Text,Kannada - 1-2 sentences,,
